SampleName,Strain,Replicate,Barcode,Strain_Rep
N2_I_48S,N2,I,48S,N2_I
N2_I_4S,N2,I,4S,N2_I
N2_I_5S,N2,I,5S,N2_I
N2_I_6S,N2,I,6S,N2_I
N2_I_7S,N2,I,7S,N2_I
N2_I_8S,N2,I,8S,N2_I
N2_I_9S,N2,I,9S,N2_I
N2_II_10S,N2,II,10S,N2_II
N2_II_11S,N2,II,11S,N2_II
N2_II_12S,N2,II,12S,N2_II
N2_II_13S,N2,II,13S,N2_II
N2_II_14S,N2,II,14S,N2_II
N2_II_15S,N2,II,15S,N2_II
N2_II_16S,N2,II,16S,N2_II
N2_II_17S,N2,II,17S,N2_II
N2_II_18S,N2,II,18S,N2_II
N2_II_19S,N2,II,19S,N2_II
N2_II_1S,N2,II,1S,N2_II
N2_II_20S,N2,II,20S,N2_II
N2_II_21S,N2,II,21S,N2_II
N2_II_22S,N2,II,22S,N2_II
N2_II_23S,N2,II,23S,N2_II
N2_II_24S,N2,II,24S,N2_II
N2_II_25S,N2,II,25S,N2_II
N2_II_26S,N2,II,26S,N2_II
N2_II_27S,N2,II,27S,N2_II
N2_II_28S,N2,II,28S,N2_II
N2_II_29S,N2,II,29S,N2_II
N2_II_2S,N2,II,2S,N2_II
N2_II_30S,N2,II,30S,N2_II
N2_II_31S,N2,II,31S,N2_II
N2_II_32S,N2,II,32S,N2_II
N2_II_33S,N2,II,33S,N2_II
N2_II_34S,N2,II,34S,N2_II
N2_II_35S,N2,II,35S,N2_II
N2_II_36S,N2,II,36S,N2_II
N2_II_37S,N2,II,37S,N2_II
N2_II_38S,N2,II,38S,N2_II
N2_II_39S,N2,II,39S,N2_II
N2_II_3S,N2,II,3S,N2_II
N2_II_40S,N2,II,40S,N2_II
N2_II_41S,N2,II,41S,N2_II
N2_II_42S,N2,II,42S,N2_II
N2_II_43S,N2,II,43S,N2_II
N2_II_44S,N2,II,44S,N2_II
N2_II_45S,N2,II,45S,N2_II
N2_II_46S,N2,II,46S,N2_II
N2_II_47S,N2,II,47S,N2_II
N2_II_48S,N2,II,48S,N2_II
N2_II_4S,N2,II,4S,N2_II
N2_II_5S,N2,II,5S,N2_II
N2_II_6S,N2,II,6S,N2_II
N2_II_7S,N2,II,7S,N2_II
N2_II_8S,N2,II,8S,N2_II
N2_II_9S,N2,II,9S,N2_II
N2_III_10S,N2,III,10S,N2_III
N2_III_11S,N2,III,11S,N2_III
N2_III_12S,N2,III,12S,N2_III
N2_III_13S,N2,III,13S,N2_III
N2_III_14S,N2,III,14S,N2_III
N2_III_15S,N2,III,15S,N2_III
N2_III_16S,N2,III,16S,N2_III
N2_III_17S,N2,III,17S,N2_III
N2_III_18S,N2,III,18S,N2_III
N2_III_19S,N2,III,19S,N2_III
N2_III_1S,N2,III,1S,N2_III
N2_III_20S,N2,III,20S,N2_III
N2_III_21S,N2,III,21S,N2_III
N2_III_22S,N2,III,22S,N2_III
N2_III_23S,N2,III,23S,N2_III
N2_III_24S,N2,III,24S,N2_III
N2_III_25S,N2,III,25S,N2_III
N2_III_26S,N2,III,26S,N2_III
N2_III_27S,N2,III,27S,N2_III
N2_III_28S,N2,III,28S,N2_III
N2_III_29S,N2,III,29S,N2_III
N2_III_2S,N2,III,2S,N2_III
N2_III_30S,N2,III,30S,N2_III
N2_III_31S,N2,III,31S,N2_III
N2_III_32S,N2,III,32S,N2_III
N2_III_33S,N2,III,33S,N2_III
N2_III_34S,N2,III,34S,N2_III
N2_III_35S,N2,III,35S,N2_III
N2_III_36S,N2,III,36S,N2_III
N2_III_37S,N2,III,37S,N2_III
N2_III_38S,N2,III,38S,N2_III
N2_III_39S,N2,III,39S,N2_III
N2_III_3S,N2,III,3S,N2_III
N2_III_40S,N2,III,40S,N2_III
N2_III_41S,N2,III,41S,N2_III
N2_III_42S,N2,III,42S,N2_III
N2_III_43S,N2,III,43S,N2_III
N2_III_44S,N2,III,44S,N2_III
N2_III_45S,N2,III,45S,N2_III
N2_III_46S,N2,III,46S,N2_III
N2_III_47S,N2,III,47S,N2_III
